UNIQ_ID,PARENT,FCODE,USG_GROUP,USG_CODE,USG_SP_NAM,USG_SP_NM_,USG_PRIORI,BLDG_ID,CMPLX_ID,CMLX_FCD,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER
"54007572","0","223","20","5521",בית כנסת - יוסף הצדיק,,"1","53099872","0","0",253894.73402700000,790799.06229399994,"0",
"53940589","0","223","20","5521",בית כנסת - אוהל יצחק,Ohel Yits'hak Synagogue,"1","51719460","0","0",246105.15402700001,769047.92889400001,"0",
"53941095","0","223","20","5521",בית כנסת - בית ישראל,,"1","51727477","0","0",209878.00442700001,768068.22669399995,"0",
"53941100","0","223","20","5521",בית כנסת - אור תורה,,"1","51670318","0","0",253285.40002700000,790506.26509400003,"0",
"54007694","0","223","20","5523",מסגד,Mosque,"1","51706822","0","0",245765.67132699999,772673.64699399995,"0",
"53941114","0","223","20","5523",מסגד,Mosque,"1","51718752","0","0",225270.24612699999,768383.54019400000,"0",
"53940556","0","223","20","5501",מקווה - הצופים,,"1","51677189","0","0",253393.00032699999,791479.41299400001,"0",
"53940738","0","223","20","5521","בית כנסת - האר""י",,"1","51685781","0","0",254053.90002700000,790732.05699399998,"0",
"53940632","0","223","20","5521",בית כנסת - אהבת ישראל,Ahavat Yisra'el Synagogue,"1","53090202","0","0",253018.70392700000,789895.20109400002,"0",
"53940634","0","223","20","5521",בית כנסת - נווה אלון,,"1","53001218","0","0",209248.78832699999,769251.17479399999,"0",
"53940510","0","223","20","5521",בית כנסת - שעיר השמיים,,"1","52986938","0","0",253888.85122700001,790332.59579399996,"0",
"53940517","0","223","20","5521",בית כנסת - תפילה לדוד,,"1","51713996","0","0",210267.09172699999,769310.88569400006,"0",
"53940526","0","223","20","5521",בית כנסת,Synagogue,"1","51690943","0","0",267299.34592699999,780294.76639400003,"0",
"53940675","0","223","20","5521",בית כנסת,Synagogue,"1","51708799","0","0",255579.44392699999,773209.03459399997,"0",
"53940690","0","223","20","5521",בית כנסת - אוהל יעקב,Ohel Ya'akov Synagogue,"1","51683561","0","0",253223.46182699999,790511.42249400006,"0",
"53940713","0","223","20","5521",בית כנסת - אליהו ומיכאל,,"1","51716830","0","0",226766.83072699999,769232.67329399998,"0",
"53940720","0","223","20","5521",בית כנסת - היכל דוד,,"1","65335307","0","0",213775.75602700000,775324.25419400004,"0",
"53940726","0","223","20","5521",בית כנסת,Synagogue,"1","51701813","0","0",238545.94292700000,773167.76229400001,"0",
"53940750","0","223","20","5521",בית כנסת,Synagogue,"1","51679269","0","0",253667.26522700000,790881.77119400003,"0",
"54007615","0","223","20","5521","בית כנסת - החיד""א",,"1","53194424","0","0",227506.85282700000,768649.62069400004,"0",
"54007616","0","223","20","5521",בית כנסת - מגן אברהם,Magen Avraham Synagogue,"1","51679481","0","0",253411.63392699999,791684.21109400003,"0",
"53940780","0","223","20","5521",בית כנסת - שכונת גבעת הזיתים,,"1","53191823","0","0",225646.16172700000,770339.41299400001,"0",
"53940782","0","223","20","5501",מקווה,Mikve (Ritual Bath),"1","51702501","0","0",230603.19102699999,771003.35119399999,"0",
"53940813","0","223","20","5521",בית כנסת - אהבת שלום,Ahavat Shalom Synagogue,"1","51704660","0","0",214293.54522700000,774992.57659399998,"0",
