id,lat,long,from,to,raw_text
1,32.063224,34.772886,2020-03-09 0:00:00,2020-03-09 23:59:00,"מועדון ""זוזו"", שדרות רוטשילד 32, תל אביב"
2,31.76236,35.17127,2020-03-09 0:00:00,2020-03-09 23:59:00,"דיור מוגן ""מגדל נופים"" רחוב הנריטה סאלד 2 ירושלים"
3,31.2591051,34.8020335,2020-03-09 0:00:00,2020-03-09 5:00:00,מיון פנימי במרכז רפואי סורוקה
4,32.8304939,35.0675388,2020-03-09 0:00:00,2020-03-09 23:59:00,"ישיבת חב""ד קריית שמואל"
5,31.891463,34.7333639,2020-03-09 0:00:00,2020-03-09 3:30:00,"אולמי עדיה, יבנה"
6,31.891463,34.7333639,2020-03-09 0:00:00,2020-03-09 3:30:00,"אולמי עדיה, יבנה"
7,32.0360309,34.7627074,2020-03-09 0:00:00,2020-03-09 23:59:00,בית חולים וולפסון
8,31.7720994,35.2126628,2020-03-14 0:00:00,2020-03-14 23:59:00,מרפאת מטודלה של קופת חולים כללית ירושלים
9,31.611148,34.768459,2020-03-09 20:00:00,2020-03-09 21:00:00,"בית הכנסת קרית שנף, קרית גת"
10,32.2604828,34.8941075,2020-03-09 22:35:00,2020-03-09 22:45:00,מסעדת JEMS קניון דרורים
11,32.0837492,34.8337052,2020-03-09 18:00:00,2020-03-09 19:00:00,"בית הכנסת יוצאי חברון, רח' בר אילן 7, בני ברק"
12,32.6778114,35.2417497,2020-03-11 9:00:00,2020-03-11 13:00:00,ישיבה מתובתא מגדל העמק
13,32.6825409,35.2311568,2020-03-09 18:00:00,2020-03-09 19:00:00,בית כנסת מלכות מיכאל מגדל העמק
14,31.97508957,34.78209757,2020-03-09 3:00:00,2020-03-09 21:00:00,"בית כנסת ""תולדות יצחק ויהודה"", ע""ש זבולון המר, ראשון לציון."
15,31.9057479,35.0076915,2020-03-09 10:00:00,2020-03-09 12:45:00,"מכבידנט, רח' תלתן 8, מודיעין"
16,31.8868552,34.9611475,2020-03-09 12:30:00,2020-03-09 14:30:00,"רמי לוי, מתחם ישפרו, מודיעין"
17,31.249581,35.082868,2020-03-14 8:00:00,2020-03-14 16:00:00,"קופת חולים כללית, כסיפה א'"
18,31.2450266,34.7831638,2020-03-09 20:00:00,2020-03-09 22:00:00,"חדר כושר ""הולמס פלייס"", הנרי קנדל 10, באר שבע"
19,32.04953,34.95075,2020-03-14 5:45:00,2020-03-14 6:20:00,"בית כנסת ""משכנות נריה"", אלעד"
20,32.053904,34.9597296,2020-03-14 19:30:00,2020-03-14 20:00:00,"בית כנסת ""מאור שרגא"", אלעד"
21,32.0837492,34.8337052,2020-03-09 18:00:00,2020-03-09 19:00:00,"בית הכנסת יוצאי חברון, רח' בר אילן 7, בני ברק"
22,32.84267028,35.06890348,2020-03-09 0:02:00,2020-03-09 23:58:00,"חנות לבגדי נשים ""לילוש"" בקרית ים - שד' ירושלים 51"
23,32.07833982,34.83544681,2020-03-09 18:30:00,2020-03-09 20:00:00,"בית הכנסת קומרנא, רח' דבורה הנביאה 14, בני ברק"
24,31.7650471,35.1911197,2020-03-09 3:00:00,2020-03-09 21:00:00,"מכון לב בגבעת מרדכי, ירושלים"
25,32.03719,34.89205,2020-03-09 5:00:00,2020-03-09 7:00:00,"בית כנסת ""אור לשבים"" יהוד"
26,31.7219922,35.22414684,2020-03-09 5:15:00,2020-03-09 7:00:00,"בית הכנסת 'תפארת ציון ושרה', הרב מנהר 20, הר חומה, ירושלים"
27,31.90359,34.99476,2020-03-09 5:30:00,2020-03-09 6:30:00,בית כנסת החושן במודיעין
28,32.08452,34.83942,2020-03-09 6:15:00,2020-03-09 8:15:00,"בית הכנסת ""נחום"" ברחוב השומר פינת היום, בני ברק"
29,32.08452,34.83942,2020-03-09 6:15:00,2020-03-09 8:15:00,"בית הכנסת ""נחום"" ברחוב השומר פינת היום, בני ברק"
30,32.06474,34.76318,2020-03-09 6:30:00,2020-03-09 7:15:00,ארוחת בוקר במלון דן פנורמה בתל אביב
31,31.9754,34.77954,2020-03-09 7:00:00,2020-03-09 8:00:00,"סניף ""כרמים"", קופת חולים כללית, ראשון לציון"
32,31.908272,34.990897,2020-03-09 7:00:00,2020-03-09 21:00:00,רח' פז 3 שכונת קייזר מודיעין
