,OBJECTID,מקום,הערות,תאריך,שעות שהייה,סוג מיקום,x,y,"('ArcGIS',)_x","('ArcGIS',)_y","('Photon',)_x","('Photon',)_y","('Nominatim',)_x","('Nominatim',)_y"
0,14701,"מועדון ""זוזו"", שדרות רוטשילד 32, תל אביב",בכל שעות פעילות,9/3/2020,00:00-23:59,מיקום חולה,34.772886,32.063224,34.7727869,32.06328345,,,,
1,14702,"דיור מוגן ""מגדל נופים"" רחוב הנריטה סאלד 2 ירושלים",,9/3/2020,00:00-23:59,מיקום חולה,35.17127,31.76236,35.16175551,31.75873965,,,,
2,14703,"מועדון Sura Mare, רחוב סעדיה גאון 24, תל אביב",מסיבת פורים,9/3/2020,00:00-00:30,מיקום חולה,34.782293,32.068206,34.7822426,32.06803788,,,,
3,14704,"מועדון ""Sura Mare"", רחוב סעדיה גאון 24, תל אביב",מסיבת פורים,9/3/2020,00:00-03:00,מיקום חולה,34.782293,32.068206,34.7822426,32.06803788,,,,
4,14705,"אולם ""שבע"" רח' הצפירה 21, ת""א",אירוע,9/3/2020,00:00-02:00,מיקום חולה,34.782718,32.060795,34.78245778,32.06084916,,,,
5,14706,"ישיבת חב""ד קריית שמואל",,9/3/2020,00:00-20:00,מיקום חולה,35.0675388,32.8304939,35.07343121,32.83853467,35.210821,31.7901942,,
6,14707,מועדון נוער אור ישראלי,,9/3/2020,00:00-02:00,מיקום חולה,35.23781354,32.68153181,34.91951,32.513,35.00472525,32.8076485,,
7,14708,מועדון נוער אור ישראלי,,9/3/2020,00:00-02:00,מיקום חולה,35.23781354,32.68153181,34.91951,32.513,35.00472525,32.8076485,,
8,14709,בית חולים וולפסון,כל מי שביקר במחלקה פנימית ד' או במחלקת רגל סכרתית,9/3/2020,00:00-23:59,מיקום חולה,34.7627074,32.0360309,34.93223,32.17516,35.16881679,31.7686212,,
9,14710,מרפאת מטודלה של קופת חולים כללית ירושלים,עובדת בריאות,9/3/2020,00:00-23:59,מיקום חולה,35.2126628,31.7720994,35.21106066,31.7714862,,,,
10,14711,הרב שמעון וינגר ביהוד,סעודת פורים נוספת אצל הרב שמעון וינגר ביהוד,9/3/2020,16:30-18:30,מיקום חולה,34.884437,32.033613,,,,,,
11,14712,"מועדון נוער ""אור ישראלי"" מגדל העמק",,9/3/2020,16:00-21:00,מיקום חולה,35.2417497,32.6778114,35.24105201,32.67188092,,,,
12,14713,"מועדון נוער ""אור ישראל"" מגדל העמק",,9/3/2020,17:00-21:00,מיקום חולה,35.2417497,32.6778114,35.23938,32.68051,,,,
13,14714,בית כנסת אבני חושן שכונת קייזר מודיעין,,9/3/2020,07:20-08:45,מיקום חולה,34.9947624,31.9035949,34.9943926,31.90329908,34.9949092,31.90348675,,
14,14715,"בית הכנסת יוצאי חברון, רח' בר אילן 7, בני ברק",,9/3/2020,07:30-09:00,מיקום חולה,34.8337052,32.0837492,34.83989828,32.08870981,,,,
